prompt_id,prompt_name,brier_score_mean,brier_score_std,brier_score_count,forecast_mean,forecast_std,improvement,percent_improvement
37,Deep breath,0.2427866666666666,0.0276513721350746,15,0.4866666666666666,0.0255417492036264,0.007391294723294806,2.9544148022589924
3,Self-Consistency,0.2431066666666667,0.061366399213095,15,0.4546666666666666,0.0429063209906463,0.007071294723294708,2.8265058536760663
7,Echo,0.2450666666666666,0.0195712860613511,15,0.4906666666666666,0.0183095083286825,0.005111294723294801,2.043063543605922
29,Fermi estimate,0.2453866666666666,0.02703526444867,15,0.4866666666666666,0.0241029537806547,0.004791294723294814,1.9151545950230406
5,Step-Back,0.2458866666666666,0.0232284882561622,15,0.4833333333333333,0.0171824938596844,0.004291294723294814,1.71529686286228
32,Question paraphrasing,0.24598,0.0442397397305699,15,0.47,0.0340168025708304,0.0041979613899613966,1.6779900861922377
38,Explicit uncertainty sources,0.2463133333333333,0.0484293869856879,15,0.474,0.0418841940866207,0.0038646280566281,1.5447515980850788
25,Frequency-Based Reasoning,0.2474866666666667,0.0292476095889333,15,0.482,0.0230527345759363,0.0026912947232947126,1.0757521199478057
16,Hypothetical Scenario Analysis,0.2477133333333333,0.0331322645223798,15,0.4793333333333333,0.0257645012334708,0.0024646280566280876,0.9851499480349443
2,Chain of Thought,0.2483666666666666,0.0193342282223103,15,0.4873333333333333,0.0148644670591441,0.001811294723294804,0.7240025113449037
14,Counterfactual Reasoning,0.2484266666666666,0.0340000728290536,15,0.4826666666666667,0.029146591730832,0.0017512947232947995,0.7000195834856106
12,Superforecasting Persona,0.2497266666666666,0.0204862834482931,15,0.4913333333333333,0.0184648959096005,0.0004512947232948039,0.18038947986763493
11,Uncertainty Quantification,0.2501133333333333,0.0286339675078061,15,0.4913333333333333,0.0274815955730029,6.462805662810212e-05,0.025832833663299394
1,Control,0.2501779613899614,0.0350066517162967,259,0.4823397683397683,0.0298129894942085,0.0,0.0
21,Metacognition,0.2508133333333333,0.0297502669055654,15,0.4893333333333333,0.0273774324859693,-0.0006353719433718763,-0.25396799136175674
15,Analogical Reasoning,0.25278,0.0476987600917017,15,0.4673333333333333,0.0334806269498105,-0.002602038610038604,-1.040075071194106
30,Self-critique,0.2534466666666667,0.0105439804537719,15,0.494,0.009102589898328,-0.003268705276705308,-1.3065520474084684
27,Bayesian reasoning,0.2581136,0.0733242741143749,15,0.4661333333333333,0.0612370880462236,-0.007935638610038598,-3.1719974716993686
8,Structure,0.2584533333333333,0.0207433248012348,15,0.4906666666666666,0.0198086080374405,-0.008275371943371912,-3.3077941387781924
33,Simulated dialogue,0.26148,0.0458027167004628,15,0.4906666666666667,0.0469751707465408,-0.01130203861003859,-4.517599610791334
34,Simulated debate,0.2618466666666667,0.0438927079310881,15,0.4833333333333333,0.0409994192757943,-0.011668705276705327,-4.664161947709252
