prompt_id,prompt_name,brier_score_mean,brier_score_std,brier_score_count,forecast_mean,forecast_std
37,Deep breath,0.24278666666666665,0.02765137213507463,15,0.48666666666666664,0.025541749203626455
3,Self-Consistency,0.2431066666666667,0.06136639921309507,15,0.45466666666666666,0.042906320990646375
7,Echo,0.24506666666666668,0.01957128606135116,15,0.49066666666666664,0.018309508328682535
29,Fermi estimate,0.24538666666666667,0.027035264448670073,15,0.48666666666666664,0.02410295378065477
5,Step-Back,0.24588666666666667,0.023228488256162225,15,0.48333333333333334,0.017182493859684483
32,Question paraphrasing,0.24598,0.04423973973056999,15,0.47,0.03401680257083046
38,Explicit uncertainty sources,0.24631333333333333,0.048429386985687994,15,0.47400000000000003,0.04188419408662072
25,Frequency-Based Reasoning,0.2474866666666667,0.02924760958893338,15,0.482,0.02305273457593636
16,Hypothetical Scenario Analysis,0.24771333333333334,0.03313226452237989,15,0.47933333333333333,0.025764501233470898
2,Chain of Thought,0.24836666666666668,0.019334228222310335,15,0.4873333333333333,0.014864467059144133
14,Counterfactual Reasoning,0.24842666666666668,0.03400007282905366,15,0.4826666666666667,0.02914659173083209
12,Superforecasting Persona,0.24972666666666668,0.02048628344829316,15,0.49133333333333334,0.018464895909600508
11,Uncertainty Quantification,0.25011333333333335,0.028633967507806106,15,0.49133333333333334,0.02748159557300295
1,Control,0.2501779613899614,0.035006651716296716,259,0.4823397683397683,0.029812989494208502
21,Metacognition,0.25081333333333333,0.029750266905565426,15,0.48933333333333334,0.027377432485969366
15,Analogical Reasoning,0.25278000000000006,0.04769876009170171,15,0.4673333333333333,0.033480626949810556
30,Self-critique,0.2534466666666667,0.010543980453771912,15,0.494,0.009102589898328009
27,Bayesian reasoning,0.2581136,0.07332427411437498,15,0.46613333333333334,0.061237088046223694
8,Structure,0.25845333333333337,0.020743324801234832,15,0.49066666666666664,0.019808608037440507
33,Simulated dialogue,0.26148000000000005,0.04580271670046284,15,0.4906666666666667,0.0469751707465408
34,Simulated debate,0.2618466666666667,0.04389270793108818,15,0.48333333333333334,0.040999419275794396
