source,id,question,resolution_date,resolved_to,question_id
dbnomics,meteofrance_TEMPERATURE_celsius.61998.D,"What is the probability that the daily average temperature at the French weather station at Grande Terre will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.61998.D once the data is published.",2024-12-15,0.0,dbnomics_meteofrance_TEMPERATURE_celsius.61998.D
dbnomics,meteofrance_TEMPERATURE_celsius.81405.D,"What is the probability that the daily average temperature at the French weather station at Cayenne – Félix Éboué Airport will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.81405.D once the data is published.",2024-12-15,1.0,dbnomics_meteofrance_TEMPERATURE_celsius.81405.D
dbnomics,meteofrance_TEMPERATURE_celsius.07460.D,"What is the probability that the daily average temperature at the French weather station at Clermont-Ferrand Auvergne Airport will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.07460.D once the data is published.",2024-12-15,0.0,dbnomics_meteofrance_TEMPERATURE_celsius.07460.D
dbnomics,meteofrance_TEMPERATURE_celsius.07117.D,"What is the probability that the daily average temperature at the French weather station at Ploumanac'h will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.07117.D once the data is published.",2024-12-15,1.0,dbnomics_meteofrance_TEMPERATURE_celsius.07117.D
dbnomics,meteofrance_TEMPERATURE_celsius.07280.D,"What is the probability that the daily average temperature at the French weather station at Dijon-Bourgogne Airport will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.07280.D once the data is published.",2024-12-15,0.0,dbnomics_meteofrance_TEMPERATURE_celsius.07280.D
dbnomics,meteofrance_TEMPERATURE_celsius.07535.D,"What is the probability that the daily average temperature at the French weather station at Gourdon will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.07535.D once the data is published.",2024-12-15,0.0,dbnomics_meteofrance_TEMPERATURE_celsius.07535.D
dbnomics,meteofrance_TEMPERATURE_celsius.61970.D,"What is the probability that the daily average temperature at the French weather station at Juan de Nova Island will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.61970.D once the data is published.",2024-12-15,0.0,dbnomics_meteofrance_TEMPERATURE_celsius.61970.D
dbnomics,meteofrance_TEMPERATURE_celsius.07630.D,"What is the probability that the daily average temperature at the French weather station at Toulouse–Blagnac Airport will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.07630.D once the data is published.",2024-12-15,0.0,dbnomics_meteofrance_TEMPERATURE_celsius.07630.D
dbnomics,meteofrance_TEMPERATURE_celsius.07005.D,"What is the probability that the daily average temperature at the French weather station at Abbeville will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.07005.D once the data is published.",2024-12-15,1.0,dbnomics_meteofrance_TEMPERATURE_celsius.07005.D
dbnomics,meteofrance_TEMPERATURE_celsius.78925.D,"What is the probability that the daily average temperature at the French weather station at Martinique Aimé Césaire International Airport will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.78925.D once the data is published.",2024-12-15,0.0,dbnomics_meteofrance_TEMPERATURE_celsius.78925.D
dbnomics,meteofrance_TEMPERATURE_celsius.07027.D,"What is the probability that the daily average temperature at the French weather station at Caen – Carpiquet Airport will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.07027.D once the data is published.",2024-12-15,1.0,dbnomics_meteofrance_TEMPERATURE_celsius.07027.D
dbnomics,meteofrance_TEMPERATURE_celsius.07761.D,"What is the probability that the daily average temperature at the French weather station at Ajaccio will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.07761.D once the data is published.",2024-12-15,1.0,dbnomics_meteofrance_TEMPERATURE_celsius.07761.D
dbnomics,meteofrance_TEMPERATURE_celsius.78890.D,"What is the probability that the daily average temperature at the French weather station at La Désirade will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.78890.D once the data is published.",2024-12-15,1.0,dbnomics_meteofrance_TEMPERATURE_celsius.78890.D
dbnomics,meteofrance_TEMPERATURE_celsius.07015.D,"What is the probability that the daily average temperature at the French weather station at Lille Airport will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.07015.D once the data is published.",2024-12-15,0.0,dbnomics_meteofrance_TEMPERATURE_celsius.07015.D
dbnomics,meteofrance_TEMPERATURE_celsius.07510.D,"What is the probability that the daily average temperature at the French weather station at Bordeaux–Mérignac Airport will be higher on 2024-12-15 than on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://db.nomics.world/meteofrance_TEMPERATURE_celsius.07510.D once the data is published.",2024-12-15,0.0,dbnomics_meteofrance_TEMPERATURE_celsius.07510.D
fred,SOFR90DAYAVG,"Will the 90-day average of the Federal Reserve's Secured Overnight Financing Rate have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/SOFR90DAYAVG once the data is published.",2024-12-15,0.0,fred_SOFR90DAYAVG
fred,DTB4WK,"Will the Federal Reserve's 4-week secondary market treasury bill rate have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/DTB4WK once the data is published.",2024-12-15,0.0,fred_DTB4WK
fred,DFEDTARL,"Will the lower limit of the target range of the federal funds rate (interest rate) set by the Federal Open Market Committee have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/DFEDTARL once the data is published.",2024-12-15,0.0,fred_DFEDTARL
fred,T5YIE,"Will the US' 5-year breakeven inflation rate have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/T5YIE once the data is published.",2024-12-15,1.0,fred_T5YIE
fred,BAMLC0A1CAAA,"Will the option-adjusted spread of securities with an investment grade rating of AAA in the ICE BofA US Corporate Index, which tracks the performance of corporate debt issued in the US domestic market, have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/BAMLC0A1CAAA once the data is published.",2024-12-15,0.0,fred_BAMLC0A1CAAA
fred,NFCICREDIT,"Will the Chicago Fed's National Financial Conditions Credit Subindex have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/NFCICREDIT once the data is published.",2024-12-15,1.0,fred_NFCICREDIT
fred,IHLIDXUSTPSOFTDEVE,"Will the number of US software development job postings on Indeed have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/IHLIDXUSTPSOFTDEVE once the data is published.",2024-12-15,1.0,fred_IHLIDXUSTPSOFTDEVE
fred,BAMLC0A4CBBBEY,"Will the effective yield of securities with an investment grade rating of BBB in the ICE BofA US Corporate Index, which tracks the performance of corporate debt issued in the US domestic market, have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/BAMLC0A4CBBBEY once the data is published.",2024-12-15,1.0,fred_BAMLC0A4CBBBEY
fred,RESPPANWW,"Will the total dollar amount of assets held by all US Federal Reserve banks have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/RESPPANWW once the data is published.",2024-12-15,1.0,fred_RESPPANWW
fred,DGS6MO,"Will the market yield on US treasury securities at 6-month constant maturity, quoted on an investment basis, have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/DGS6MO once the data is published.",2024-12-15,0.0,fred_DGS6MO
fred,WSHOSHO,"Will the total dollar amount of securities held by US Federal Reserve Banks have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/WSHOSHO once the data is published.",2024-12-15,1.0,fred_WSHOSHO
fred,NASDAQCOM,"Will the NASDAQ Composite Index, which represents the daily index value at market close, have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/NASDAQCOM once the data is published.",2024-12-15,1.0,fred_NASDAQCOM
fred,BAMLEMHBHYCRPIOAS,"Will the option-adjusted spread for the ICE BofA High Yield Emerging Markets Corporate Plus Index, which tracks the performance of emerging markets securities rated BB1 or lower within major domestic and Eurobond markets, have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/BAMLEMHBHYCRPIOAS once the data is published.",2024-12-15,0.0,fred_BAMLEMHBHYCRPIOAS
fred,DEXUSEU,"Will the spot exchange rate of US dollars to euros have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/DEXUSEU once the data is published.",2024-12-15,0.0,fred_DEXUSEU
fred,T10YFF,"Will the yield spread between the 10-year US Treasury bond and the Effective Federal Funds Rate (interest rate) have increased by 2024-12-15 as compared to its value on 2024-12-08?

Resolution Criteria: Resolves to the value found at https://fred.stlouisfed.org/series/T10YFF once the data is published.",2024-12-15,1.0,fred_T10YFF
infer,1462,"Will the Syrian Democratic Forces collapse, fragment, or lose control over key territories, specifically Manbij, Raqqa, or Deir ez-Zor, before 1 October 2026?

Resolution Criteria: Resolves to the outcome of the question found at https://www.randforecastinginitiative.org/questions/1462.",2024-12-15,1.0,infer_1462
infer,1285,"Will a JCPOA participant country begin the process of imposing “snapback” sanctions on Iran by 31 December 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://www.randforecastinginitiative.org/questions/1285.",2024-12-15,0.0,infer_1285
infer,1290,"Before 1 January 2025, will Iran announce that it will leave the JCPOA (""Iran nuclear deal"")?

Resolution Criteria: Resolves to the outcome of the question found at https://www.randforecastinginitiative.org/questions/1290.",2024-12-15,0.0,infer_1290
infer,1342,"Will the Houthi movement and Yemen reach a ceasefire that is in effect on 31 December 2024 and lasts at least six months?

Resolution Criteria: Resolves to the outcome of the question found at https://www.randforecastinginitiative.org/questions/1342.",2024-12-15,0.0,infer_1342
manifold,Cjc9jjkQvT0hBWFGoaN7,"Will the front line in Ukraine change significantly in 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/PS/will-the-front-line-in-ukraine-chan-8cf89160dcb2.",2024-12-15,0.0,manifold_Cjc9jjkQvT0hBWFGoaN7
manifold,taYZcNp99aWqZLI2nq9v,"Will Rational Animations' video about Manifold Markets reach 200k views by the end of 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/Writer/will-rational-animations-second-vid.",2024-12-15,0.0,manifold_taYZcNp99aWqZLI2nq9v
manifold,UQRBDDvSiDEEsJbevE4p,"Will white-collar workers unionize to prevent job loss to AI/automation in 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/KevinRoose18ac/will-whitecollar-workers-unionize-t.",2024-12-15,0.0,manifold_UQRBDDvSiDEEsJbevE4p
manifold,PzPTjSi9k6JCDUYqPpe8,"Will Ukraine regain control over Crimea before the end of 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/itsTomekK/will-ukraine-regain-control-over-cr.",2024-12-15,0.0,manifold_PzPTjSi9k6JCDUYqPpe8
manifold,qHvlpClQ3NOnS3yD46oB,"F1 2024 - Will Lewis Hamilton finish ahead of George Russell in the WDC?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/SimonGrayson/f1-2024-will-lewis-hamilton-finish.",2024-12-15,0.0,manifold_qHvlpClQ3NOnS3yD46oB
manifold,6KE2Xg2UZfJzNWXXpSzo,"Will Grimes come out of retirement in 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/Clark/will-grimes-come-out-of-retirement.",2024-12-15,0.0,manifold_6KE2Xg2UZfJzNWXXpSzo
manifold,5PBiCM7mofSHR55eoXkP,"Will there be a ceasefire in Gaza by Eoy 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/grofigaszadosijv/will-there-be-a-ceasefire-in-gaza-b.",2024-12-15,0.0,manifold_5PBiCM7mofSHR55eoXkP
manifold,0yVJeShTMcm0FA8UrcCL,"Will over 70% of Manifold users think that Elon Musk does not deserve 100 billion dollars?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/AmmonLam/will-over-70-of-manifold-users-thin.",2024-12-15,0.0,manifold_0yVJeShTMcm0FA8UrcCL
manifold,JxcpJTGSurSdSMlFxYhL,"Will Threads have more daily active users than Twitter by the end of 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/Alice/will-threads-have-more-daily-active.",2024-12-15,0.0,manifold_JxcpJTGSurSdSMlFxYhL
manifold,AM1axfn3jAan7o8XYSfW,"Will Zubear Abdi face legal trouble for sharing explicit photos of Taylor Swift generated by AI?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/10thOfficial/will-zubear-abdi-face-legal-trouble.",2024-12-15,0.0,manifold_AM1axfn3jAan7o8XYSfW
manifold,7LxcLPJKi3jA86XghgQE,"Will Saudi Arabia and Israel establish diplomatic relations before 2025?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/JoshuaWilkes/will-saudi-arabia-and-israel-establ.",2024-12-15,0.0,manifold_7LxcLPJKi3jA86XghgQE
manifold,KqFhckN3PBuJE7tZcbaf,"Will the Meissner effect be confirmed near room temperature in copper-substituted lead apatite?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/postjawline/will-the-meissner-effect-be-confirm.",2024-12-15,0.0,manifold_KqFhckN3PBuJE7tZcbaf
manifold,I4pkLvl2R7ZafZth2xIm,"Will Manifold add tabs (like the US Elections one) for other important elections this year?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/grofigaszadosijv/will-manifold-add-tabs-like-the-us.",2024-12-15,0.0,manifold_I4pkLvl2R7ZafZth2xIm
manifold,AhQLzRl29O,"Will the ""Nintendo Switch 2"" (or other successor) be revealed before end of year?

Resolution Criteria: Resolves to the outcome of the question found at https://manifold.markets/Jubs/will-the-nintendo-switch-2-or-other-ZtqdqN0hAn.",2024-12-15,0.0,manifold_AhQLzRl29O
metaculus,20781,"Will X declare bankruptcy in 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://www.metaculus.com/questions/20781.",2024-12-15,0.0,metaculus_20781
metaculus,16164,"Will there be at least 1 fatality from a non-test nuclear detonation before 2025?

Resolution Criteria: Resolves to the outcome of the question found at https://www.metaculus.com/questions/16164.",2024-12-15,0.0,metaculus_16164
polymarket,0xfad14932325af166b81190e1f3c0d7ed892357551e5a77f064813f2de5a1b40a,"Canada federal election in 2024?

Resolution Criteria: Resolves to the outcome of the question found at https://polymarket.com/market/canada-federal-election-in-2024.",2024-12-15,0.0,polymarket_0xfad14932325af166b81190e1f3c0d7ed892357551e5a77f064813f2de5a1b40a
