question_id,prompt_id,prompt
acled_76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30,1,"Please answer the following question with a probabilistic estimate expressed between 0% and 100%, and format your response as: 'Forecast: X%'.

Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published."
acled_76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30,2,"Approach this question step-by-step, explaining your reasoning at each stage. Then provide a probabilistic estimate expressed between 0% and 100%. Format your response as: 'Forecast: X%'.

Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published."
acled_76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30,3,"Generate three separate answers to the following question, each using a different reasoning path. Once you've generated these answers, determine the most consistent response based on all three. Then provide a probabilistic estimate expressed between 0% and 100%, and format your response as: 'Forecast: X%'.

Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published."
acled_76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30,4,"Please answer the following question with a probabilistic estimate expressed between 0% and 100%, and format your response as: 'Forecast: X%'. Here are examples of forecasts for different questions to illustrate how to approach forecasting questions:

Q1: Will India be the primary source of global GDP growth in 2026? A1: I'd give this a 65% chance. China's real estate sector problems will likely take years to unwind, while India's young workforce and growing middle class should maintain momentum. Major risks would be an oil price shock or political instability slowing reforms.

Q2: Will lab-grown meat products be available in major US grocery chains by 2026? A2: I'm at 40% on this one. While the technology is progressing and costs are falling, regulatory approval and scaling up production will take longer than optimists expect. Plus consumer acceptance remains a huge hurdle that will take time to overcome.

Q3: Will a non-English language TV show be the most watched streaming series globally in 2026? A3: I'd say 55%. The international streaming market is growing much faster than North America, and production quality from places like Korea and Spain keeps improving. Still, English-language content has built-in advantages in marketing and distribution that are hard to overcome.

Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published."
acled_76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30,5,"For the following question, identify the high-level principle or abstraction that could guide your reasoning. Clearly state this principle. Then provide a probabilistic estimate expressed between 0% and 100%, and format your response as: 'Forecast: X%'.

Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published."
acled_76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30,6,"Please answer the following question with a probabilistic estimate expressed between 0% and 100%, and format your response as: 'Forecast: X%'. Getting this forecast right is extremely important to me personally and professionally, please do not let me down on this! 

Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published."
acled_76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30,7,"Please answer the following question. First, let’s repeat the question, and then provide a probabilistic estimate expressed between 0% and 100%, and format your response as: 'Forecast: X%'.

Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published."
acled_76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30,8,"### Prompt
Answer the following question using a probabilistic estimate between 0% and 100%.

### Response Formatting
- **Output Structure**: Use the following format strictly: `Forecast: X%`
 - Replace “X” with a single numeric value between 0 and 100.

### Question
Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published."
acled_76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30,9,"Please answer the following question with a probabilistic estimate expressed between 0% and 100%, and format your response as: 'Forecast: X%'. This is very important to my career. 

Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published."
acled_76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30,10,"Please answer the following question with a probabilistic estimate expressed between 0% and 100%, and format your response as: 'Forecast: X%'.


Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published.

Read the question again: Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published."
acled_76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30,11,"Please answer the following question. Then, provide a prediction interval in which you quantify the uncertainty of your prediction. Then, from this arrive at a single probabilistic estimate expressed between 0% and 100%, and format your response as: 'Forecast: X%'.

Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published."
acled_76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30,12,"You are a highly accurate superforecaster, known for making well-calibrated predictions. Then provide a probabilistic estimate expressed between 0% and 100%, and format your response as: 'Forecast: X%'.

Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published."
