source,id,question,resolution_date,resolved_to,question_id
acled,76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30,"Will there be more than ten times as many 'Riots' in India for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published.",2024-08-20,0.0,acled_76a74bb21711fa0ff3b0d46d2c7754927810280e6d4b794588303e61129b3c30
acled,1a0426c8b3d715290f3ad93dae8dfc9f84d6f6e38ea1fd4d20f11496049204b5,"Will there be more than ten times as many 'Explosions/Remote violence' in Aruba for the 30 days before 2024-10-19 compared to one plus the 30-day average of 'Explosions/Remote violence' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Explosions/Remote violence'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Explosions/Remote violence' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Explosions/Remote violence' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published.",2024-10-19,0.0,acled_1a0426c8b3d715290f3ad93dae8dfc9f84d6f6e38ea1fd4d20f11496049204b5
acled,2bbe225ae556b715917ec31bdc2cd9b94df091136ec3b3f39d71041a45b6ecb0,"Will there be more than ten times as many 'Strategic developments' in Mali for the 30 days before 2025-01-17 compared to one plus the 30-day average of 'Strategic developments' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Strategic developments'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Strategic developments' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Strategic developments' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published.",2025-01-17,0.0,acled_2bbe225ae556b715917ec31bdc2cd9b94df091136ec3b3f39d71041a45b6ecb0
acled,a6df218adf1cf6a40983148234c46052bc83c7d2b8e31157dfdd6e58a9f83f5d,"Will there be more 'Violence against civilians' in Bolivia for the 30 days before 2024-08-20 compared to the 30-day average of 'Violence against civilians' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Violence against civilians'
2023-11-11,1
2023-10-10,2
to calculate the 30-day average of 'Violence against civilians' over the preceding 360 days, we’d have: (1+2)/12=0.25.

In this example, for the question to resolve positively, 1 or more 'Violence against civilians' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published.",2024-08-20,0.0,acled_a6df218adf1cf6a40983148234c46052bc83c7d2b8e31157dfdd6e58a9f83f5d
acled,447c809c60421e327f266315b62b36749b6362b8b688c133985c93c9ad9be608,"Will there be more than ten times as many 'Riots' in Guatemala for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Riots' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Riots'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Riots' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Riots' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published.",2024-08-20,0.0,acled_447c809c60421e327f266315b62b36749b6362b8b688c133985c93c9ad9be608
acled,8d2ba46db9e608f4c68374e40a33076c33f58219df26b504135b506194d1622c,"Will there be more than ten times as many 'Violence against civilians' in South Korea for the 30 days before 2024-10-19 compared to one plus the 30-day average of 'Violence against civilians' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Violence against civilians'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Violence against civilians' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Violence against civilians' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published.",2024-10-19,0.0,acled_8d2ba46db9e608f4c68374e40a33076c33f58219df26b504135b506194d1622c
acled,600e496f50daaa9743707de63ce115d974431d123cd136ff68b8f92bc74eb435,"Will there be more than ten times as many 'Battles' in Andorra for the 30 days before 2025-01-17 compared to one plus the 30-day average of 'Battles' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Battles'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Battles' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Battles' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published.",2025-01-17,0.0,acled_600e496f50daaa9743707de63ce115d974431d123cd136ff68b8f92bc74eb435
acled,ac7b7ca153f613fa81d9c0eff4f0aa25bb62bba04da7610ae4eec7e1586425bb,"Will there be more than ten times as many 'Strategic developments' in Wallis and Futuna for the 30 days before 2024-10-19 compared to one plus the 30-day average of 'Strategic developments' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Strategic developments'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Strategic developments' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Strategic developments' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published.",2024-10-19,0.0,acled_ac7b7ca153f613fa81d9c0eff4f0aa25bb62bba04da7610ae4eec7e1586425bb
acled,df90cdceaad74c30e35c84791dd12ac5120b233928a6bc4ff3af2c8ece3f306b,"Will there be more than ten times as many 'Explosions/Remote violence' in Angola for the 30 days before 2024-08-20 compared to one plus the 30-day average of 'Explosions/Remote violence' over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,'Explosions/Remote violence'
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of 'Explosions/Remote violence' over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more 'Explosions/Remote violence' would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published.",2024-08-20,0.0,acled_df90cdceaad74c30e35c84791dd12ac5120b233928a6bc4ff3af2c8ece3f306b
acled,fa23cf1ab8ae4be34faeccb0c0453b19974158a7a1cb10657339b11a869ce089,"Will there be more than ten times as many fatalities in Ivory Coast for the 30 days before 2024-08-20 compared to one plus the 30-day average of fatalities over the 360 days preceding 2024-07-21?

e.g. If the forecast due date is 2024-01-01 and we have the following data:
Date,fatalities
2023-11-11,1
2023-10-10,2
to calculate one plus the 30-day average of fatalities over the preceding 360 days, we’d have: 1+(1+2)/12=1.25.

In this example, for the question to resolve positively, 13 (10 x 1.25) or more fatalities would need to occur in the 30 days leading up to the resolution.

Resolution Criteria: Resolves to the value calculated from the ACLED dataset once the data is published.",2024-08-20,0.0,acled_fa23cf1ab8ae4be34faeccb0c0453b19974158a7a1cb10657339b11a869ce089
